quality,subgroup,size_sg,size_dataset,positives_sg,positives_dataset,size_complement,relative_size_sg,relative_size_complement,coverage_sg,coverage_complement,target_share_sg,target_share_complement,target_share_dataset,lift,ano
0.005366668968162496,causa_acidente=='outras',45956,127632,2643,5438,81676,0.36006644101792656,0.6399335589820735,0.48602427363001105,0.513975726369989,0.05751153277047611,0.03422057887261864,0.04260686975053278,1.349818306465871,2007
0.015580755447311056,tipo_pista=='simples' AND uso_solo=='não',23860,72529,2844,5210,48669,0.32897185953204927,0.6710281404679508,0.545873320537428,0.45412667946257196,0.11919530595138307,0.048614107542789047,0.07183333563126473,1.659331352274062,2025
0.014553927704000281,tipo_acidente=='colisão frontal',4739,72529,1396,5210,67790,0.0653393814887838,0.9346606185112162,0.2679462571976967,0.7320537428023033,0.2945769149609622,0.0562619855435905,0.07183333563126473,4.100838592169603,2025
0.014073184385086828,tipo_acidente=='colisão frontal' AND tipo_pista=='simples',4236,72529,1325,5210,68293,0.058404224517089716,0.9415957754829103,0.2543186180422265,0.7456813819577736,0.312795089707271,0.056887235880690556,0.07183333563126473,4.354455865907612,2025
0.012942572289905854,tipo_acidente=='colisão frontal' AND uso_solo=='não',3359,72529,1180,5210,69170,0.046312509478967034,0.953687490521033,0.22648752399232247,0.7735124760076776,0.35129502828222686,0.05826225242157004,0.07183333563126473,4.890417870687454,2025
0.012808845475868719,tipo_pista=='simples',34733,72529,3424,5210,37796,0.4788843083456273,0.5211156916543728,0.6571976967370442,0.34280230326295585,0.09858060058157948,0.04725367763784528,0.07183333563126473,1.3723517043342377,2025
0.012573538301469034,tipo_acidente=='colisão frontal' AND tipo_pista=='simples' AND uso_solo=='não',3133,72529,1137,5210,69396,0.04319651449764922,0.9568034855023508,0.2182341650671785,0.7817658349328215,0.3629109479731886,0.058692143639402845,0.07183333563126473,5.052124404135777,2025
0.01116505542014681,causa_acidente=='outras' AND uso_solo=='não',12518,72529,1709,5210,60011,0.17259303175281612,0.8274069682471838,0.32802303262955856,0.6719769673704414,0.13652340629493528,0.05833930446084885,0.07183333563126473,1.9005577994559235,2025
0.010987870204991992,uso_solo=='não',41444,72529,3774,5210,31085,0.5714128141846709,0.42858718581532906,0.7243761996161229,0.2756238003838772,0.09106263874143422,0.046195914428180794,0.07183333563126473,1.2676933061952942,2025
0.010616587362015269,condicao_metereologica=='céu claro' AND tipo_pista=='simples' AND uso_solo=='não',15327,72529,1871,5210,57202,0.21132236760468226,0.7886776323953177,0.35911708253358926,0.6408829174664108,0.12207216024009918,0.05837208489213664,0.07183333563126473,1.6993803666130813,2025
0.01045952169604003,causa_acidente=='outras' AND tipo_pista=='simples' AND uso_solo=='não',7648,72529,1308,5210,64881,0.10544747618194102,0.8945525238180589,0.2510556621880998,0.7489443378119002,0.17102510460251047,0.060140873291102175,0.07183333563126473,2.3808598486977894,2025
0.010352612519915648,fase_dia=='plena noite' AND uso_solo=='não',14452,72529,1789,5210,58077,0.1992582277433854,0.8007417722566146,0.3433781190019194,0.6566218809980806,0.1237890949349571,0.05890455774230763,0.07183333563126473,1.7232820089323424,2025
0.010228985781158276,fase_dia=='plena noite',24781,72529,2522,5210,47748,0.34167022846034,0.65832977153966,0.48406909788867564,0.5159309021113244,0.1017715185020782,0.05629555164614225,0.07183333563126473,1.41677283405705,2025
0.01012932502630241,causa_acidente=='outras' AND fase_dia=='plena noite',8051,72529,1313,5210,64478,0.11100387431234403,0.888996125687656,0.25201535508637235,0.7479846449136276,0.16308533101478076,0.060439219578771054,0.07183333563126473,2.2703293614531734,2025
0.010071456086955487,fase_dia=='plena noite' AND tipo_pista=='simples',12244,72529,1610,5210,60285,0.16881523252767858,0.8311847674723214,0.30902111324376197,0.690978886756238,0.13149297615158445,0.05971634735008709,0.07183333563126473,1.8305286117655026,2025
0.009929204916597264,causa_acidente=='outras' AND tipo_pista=='simples',13028,72529,1656,5210,59501,0.17962470184340057,0.8203752981565994,0.31785028790786946,0.6821497120921305,0.12711083819465765,0.05973008856994,0.07183333563126473,1.769524373017337,2025
0.009860815786287292,causa_acidente=='outras',25459,72529,2544,5210,47070,0.35101821340429346,0.6489817865957066,0.48829174664107483,0.5117082533589251,0.0999253702030716,0.05663904822604631,0.07183333563126473,1.3910723945218004,2025
0.009738713440138163,fase_dia=='plena noite' AND tipo_pista=='simples' AND uso_solo=='não',8515,72529,1318,5210,64014,0.11740131533593459,0.8825986846640654,0.25297504798464493,0.7470249520153551,0.15478567234292426,0.06079920017496173,0.07183333563126473,2.154788873197688,2025
0.009551788384644667,condicao_metereologica=='céu claro' AND tipo_acidente=='colisão frontal',3010,72529,909,5210,69519,0.0415006411228612,0.9584993588771388,0.1744721689059501,0.8255278310940499,0.30199335548172757,0.061867978538241344,0.07183333563126473,4.204083700524802,2025
0.009408726067851808,tipo_acidente=='atropelamento de pedestre',3057,72529,902,5210,69472,0.042148657778268005,0.957851342221732,0.1731285988483685,0.8268714011516315,0.29506051684658163,0.062010594196222936,0.07183333563126473,4.107570868784207,2025
0.009236392713594874,condicao_metereologica=='céu claro' AND tipo_acidente=='colisão frontal' AND tipo_pista=='simples',2702,72529,864,5210,69827,0.0372540638916847,0.9627459361083153,0.1658349328214971,0.8341650671785029,0.31976313841598814,0.06223953485041603,0.07183333563126473,4.451458861069713,2025
